patient_id,0,1,2,3,4,5,6,7
patient297,0.8275837,0.9096992,0.74247503,1.4534553,0.7714626,0.86700886,1.480525,0.9205199
patient300,0.78631794,0.85618,0.6407068,1.9854873,0.674823,0.96145195,2.0160797,0.77216125
patient301,0.7095665,0.8052116,0.5868452,2.1386719,0.6498207,1.0014838,2.1386318,0.6947866
patient303,1.1960473,1.3164815,1.1028363,1.6627272,0.95678717,1.0955206,1.7012364,0.8610103
patient304,1.0644735,1.1964086,0.95566815,1.2776929,0.99335235,0.8747528,1.3189821,1.0881374
patient305,1.0452862,1.2744987,1.018279,1.5907295,1.0856364,0.8609126,1.6249757,1.1072887
patient306,1.120179,1.3727689,1.048345,1.8036401,0.89364845,1.2924844,1.8048483,1.0617942
patientE11,0.8231397,0.9152249,0.70467377,1.8686304,0.64042705,0.8071718,1.6366398,0.6921968
patientE12,0.73820466,0.87973756,0.68568724,1.8717606,0.6787823,0.9785633,1.8397769,0.7693264
patientE14,1.2840983,1.4412633,1.2146058,1.307556,1.154078,1.1476902,1.5125378,1.163784
patientE15,1.3266333,1.7128484,1.29507,2.3704872,1.0350921,1.2577091,2.0711136,1.0164907
patientE17,1.2977592,1.3886236,1.149936,1.122705,0.8084308,0.9948825,1.2425419,0.9154576
patientE18,0.7318031,0.9360839,0.6804868,2.212073,0.80951333,0.71019644,1.9397321,0.7890289
patientE2,0.5495127,0.6904034,0.46609247,2.9112997,0.5590825,0.7093248,2.6743634,0.5522942
patientE21,0.95531505,1.1643597,0.9445634,1.5217428,0.9598355,0.83806545,1.3129541,0.97968465
patientE22,0.7571598,0.8374077,0.67225546,2.159297,0.7898017,0.72932523,1.9405392,0.7007917
patientE23,0.57413363,0.6868701,0.554432,2.361187,0.6800621,0.59557164,2.2927306,0.6557439
patientE26,0.6920168,0.8905485,0.62242174,2.6183922,0.7137654,0.9802255,2.453119,0.6202926
patientE27,0.62211555,0.7503628,0.5592944,2.1227536,0.6725173,0.6161163,2.024381,0.5870069
patientE28,1.2201574,1.4799056,1.1440125,2.0012474,0.9752531,1.420307,1.8946106,1.0579016
patientE29,1.2077441,1.4790517,1.157881,0.9314927,1.0722557,0.96715176,1.5475397,1.0429
patientE30,0.7389414,0.80490303,0.636354,1.7516428,0.7683045,0.59598583,1.6976355,0.6167063
patientE31,0.9553459,1.0906601,0.7855773,1.8049212,0.88229764,0.89861465,1.7214073,1.0408655
patientE32,0.8487496,1.0435717,0.8002139,2.57833,0.7445842,0.985568,2.3045423,0.7901391
patientE33,1.7989748,1.8376845,1.5507296,1.525993,1.4153627,1.1388891,1.836347,1.1690915
patientE36,0.67283547,0.82811856,0.5361787,1.9349973,0.6078773,0.65642965,1.9639304,0.6141988
patientE37,1.321483,1.6597157,1.2042947,1.2707732,0.9361139,1.3990009,1.7206799,0.9962896
patientE38,0.70782536,0.79734886,0.6207531,2.2821536,0.62856865,0.8632341,2.038337,0.64306986
patientE4,0.6838801,0.8593649,0.65365815,2.3797996,0.63857687,0.9145096,2.2784986,0.67998236
patientE40,1.1476032,1.3535014,1.159047,1.0518459,1.1433599,0.88131225,1.1648533,1.3008001
patientE41,0.9248881,1.1265252,0.93177724,1.7906945,0.86177856,0.9752136,1.6847644,0.8897338
patientE42,0.8829494,1.0340557,0.81337476,1.6893278,0.7672457,0.9106653,1.6845217,0.8571527
patientE44,0.8639373,1.0201651,0.81715757,1.5209745,0.8280645,1.1095335,1.6397359,0.8128412
patientE45,0.9087902,1.0542073,0.87190217,1.6432731,0.9231551,0.8827654,1.6154794,0.8889815
patientE46,0.82040507,0.92782044,0.69758666,2.0077286,0.7849467,0.7603136,1.8629347,0.86029595
patientE49,0.5860821,0.78672653,0.5505422,2.2238975,0.63515663,0.6731417,2.1744835,0.63114214
patientE51,1.168231,1.3396351,1.0823681,1.0733517,0.9509303,1.0285723,1.5406519,1.0726967
patientE52,0.77444375,0.8435093,0.69039255,2.0039287,0.69545245,0.8830056,1.7565848,0.78013223
patientE53,1.1724415,1.4614977,1.1512055,1.1944948,1.0518053,1.140241,1.6075704,1.0783142
patientE54,0.5580805,0.6283746,0.4889253,1.9332392,0.6207757,0.5710408,1.5591106,0.56346923
patientE55,0.7435675,0.9192931,0.6459743,2.1094253,0.65061057,0.81430024,1.9486549,0.73755765
patientE56,1.0962046,1.2573851,0.975452,2.0001454,0.8882514,0.83629787,1.9300449,1.0890743
patientE8,0.6748385,0.68715155,0.6117543,1.885063,0.72939837,0.7049666,1.4508793,0.79000354
